lecture,slide_id,model,type,term_or_entity
Lecture 1,Slide30,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=Pingkun Yan, PhD | p=represents | o=Professor | conf=0.95"
Lecture 1,Slide31,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,growing in both scope and impact
Lecture 1,Slide33,OpenGVLab__InternVL3-14B,concept_term_not_in_text,Optical Imaging I
Lecture 1,Slide33,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,MRI II
Lecture 1,Slide33,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Ultrasound II
Lecture 1,Slide36,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,corrections
Lecture 1,Slide36,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Textbook | p=uses | o=Available in PDF | conf=0.9
Lecture 1,Slide37,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=p(t,θ) | p=produces | o=F(u,v) = F(ρ,θ) | conf=0.95"
Lecture 1,Slide38,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,anatomical structures
Lecture 1,Slide38,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,reconstruction
Lecture 1,Slide38,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=Positron Emission Tomography | p=produces | o=detailed, functional images of the body's processes | conf=0.9"
Lecture 1,Slide39,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Single Photon Emission CT | p=measures | o=single gamma ray photons | conf=0.95
Lecture 1,Slide40,OpenGVLab__InternVL3-14B,concept_term_not_in_text,functional imaging
Lecture 1,Slide41,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=ultrasound imaging | p=reconstructs_with | o=data from reflected waves | conf=0.9
Lecture 1,Slide42,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,bioluminescence imaging
Lecture 1,Slide48,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,AI-empowered AI-empowered deep learning
Lecture 1,Slide6,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,SPECT
Lecture 1,Slide6,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,medical imaging
Lecture 1,Slide7,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,isolating structures
Lecture 1,Slide7,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,reconstruct a full 3d view of what's inside
Lecture 1,Slide7,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=X-ray radiography | p=produces | o=images | conf=0.9
Lecture 10,Slide11,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=impedance | p=represents | o=resistor, capacitor, and inductor | conf=0.95"
Lecture 10,Slide13,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=the first node | p=represents | o=resistor R 1, resistor R 2, resistor R 3, and the voltage source | conf=0.95"
Lecture 10,Slide14,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"You might notice that other closed paths exist - for example, one that goes all the way around the outside - but these can be derived from combinations of the independent loops. They don't give us any new information."
Lecture 10,Slide16,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"when we combine kvl with kirchhoff's current law, we can write enough equations to solve for all the unknown currents and voltages in even a complex electrical network"
Lecture 10,Slide18,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Electrical Engineering
Lecture 10,Slide19,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Voltage leads current
Lecture 10,Slide19,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,R ∠0°
Lecture 10,Slide2,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Ultrasound I
Lecture 10,Slide20,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Impedance cancellation
Lecture 10,Slide20,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"parallel connection - the two elements share the same two nodes: The voltage across each is the same, and the currents add."
Lecture 10,Slide21,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"The fraction of the input voltage that appears across the capacitor is given by the transfer function: ""Capital T of omega equals one divided by j omega C, all over R plus one divided by j omega C."""
Lecture 10,Slide24,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,amplification
Lecture 10,Slide25,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,saturation
Lecture 10,Slide25,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Null mode | p=produces | o=zero output voltage V_out | conf=1.0
Lecture 10,Slide25,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,large magnification/gain
Lecture 10,Slide26,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=NPN bipolar junction transistor | p=produces | o=amplified signals | conf=1.0
Lecture 10,Slide26,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"digital logic gates - OR, AND, XOR, NOR, NAND, and NOT"
Lecture 10,Slide29,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=op amp | p=represents | o=two input terminals at the same voltage | conf=1.0
Lecture 10,Slide32,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"When you connect these components into a network, Kirchhoff's Voltage Law and Kirchhoff's Current Law give you enough equations to solve for all unknowns."
Lecture 10,Slide34,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,future impact on fields such as science and healthcare
Lecture 10,Slide36,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,adaptation
Lecture 10,Slide36,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Neural Integration
Lecture 10,Slide38,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Biological Neuron | p=uses | o=Fiber (Axon) | conf=0.95
Lecture 10,Slide39,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,"resistors, capacitors, inductors"
Lecture 10,Slide41,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,sparse ae
Lecture 10,Slide42,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Amplitude/Phase
Lecture 10,Slide42,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Amplitude/Phase (Complex Analysis)
Lecture 10,Slide42,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Shortcut/Feedback | p=represents | o=Control Theory | conf=0.95
Lecture 10,Slide43,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,accuracy
Lecture 10,Slide43,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Convergence
Lecture 10,Slide45,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"Over time, with each update, the loss gets smaller and smaller until the network converges to a good solution - ideally, a point where further changes no longer improve the performance."
Lecture 10,Slide46,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,classifies almost all points correctly
Lecture 10,Slide47,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,train neural networks on large datasets
Lecture 10,Slide48,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,network or data transfer
Lecture 10,Slide49,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"if you eventually want to publish your work, you either need to get formal permission to use those copyrighted figures or you should redraw them in your own style so they're fully original"
Lecture 10,Slide5,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,proportionality
Lecture 10,Slide50,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=sensitivity | p=measures | o=change in V_out | conf=1.0
Lecture 10,Slide50,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,equal resistances
Lecture 10,Slide6,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,"s=current i | p=equals | o=one over L times the integral of v with respect to time, plus the initial current | conf=1.0"
Lecture 10,Slide6,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Understanding their V-I relationships is essential before moving on to phasors
Lecture 10,Slide6,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"these three components - resistor, capacitor, and inductor - are the building blocks of classic electrical circuits."
Lecture 10,Slide7,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,spectrum
Lecture 11,Slide1,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,diagnostic imaging
Lecture 11,Slide10,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"KL divergence, mutual information, and entropy are very powerful, but they are more advanced than what we need right now"
Lecture 11,Slide11,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,image structure preservation
Lecture 11,Slide12,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=HVS | p=uses | o=Top-down | conf=1.0
Lecture 11,Slide14,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,image quality
Lecture 11,Slide14,Qwen__Qwen2-VL-7B-Instruct,triple_entity_not_in_text,s=Structural Similarity Index (SSIM) | p=measures | o=image quality | conf=1.0
Lecture 11,Slide14,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=SSIM=0.949 | p=measures | o=the image next to the reference image | conf=0.95
Lecture 11,Slide15,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Structural Similarity Index | p=produces | o=Similarity Measure | conf=1.0
Lecture 11,Slide16,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=σₓ | p=measures | o=standard deviation of X | conf=0.95
Lecture 11,Slide17,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=boundedness | p=represents | o=S(x, y) ≤ 1 | conf=0.95"
Lecture 11,Slide18,OpenGVLab__InternVL3-14B,concept_term_not_in_text,quality_metric
Lecture 11,Slide18,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=luminance comparison | p=produces | o=value between 0 and 1 | conf=0.95
Lecture 11,Slide2,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Deep Imaging
Lecture 11,Slide20,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=contrast comparison function | p=uses | o=standard deviation of pixel values | conf=0.95
Lecture 11,Slide21,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=contrast term in SSIM | p=captures | o=relative differences | conf=1.0
Lecture 11,Slide26,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,ai_ml
Lecture 11,Slide28,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=System Specific | p=measures | o=SNR | conf=1.0
Lecture 11,Slide28,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=system-specific measures | p=measures | o=Resolution (Spatial, Contrast, Temporal, Spectral) | conf=0.95"
Lecture 11,Slide29,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Signal-to-Noise Ratio (SNR) | p=measures | o=how strong the signal is relative to the noise | conf=1.0
Lecture 11,Slide29,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,SNR is defined as the ratio of signal power to noise power.
Lecture 11,Slide29,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Signal to Noise Ratio (SNR) | p=represents | o=how strong the signal is relative to the noise | conf=0.95
Lecture 11,Slide32,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,50 mAs
Lecture 11,Slide37,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Specificity | p=measures | o=likelihood of a negative case | conf=1.0
Lecture 11,Slide37,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,High specificity ensures we don't overwhelm patients with unnecessary worry or treatment
Lecture 11,Slide37,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Specificity =TN/(TN+FP) | p=measures | o=likelihood of a negative case | conf=0.95
Lecture 11,Slide4,OpenGVLab__InternVL3-14B,concept_term_not_in_text,AUC
Lecture 11,Slide4,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,"s=System Specific | p=measures | o=Resolution (Spatial, Contrast, Temporal, Spectral) | conf=1.0"
Lecture 11,Slide4,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Neural Network/Radiomics
Lecture 11,Slide4,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Sensitivity & Specificity
Lecture 11,Slide40,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,An AUC of 0.5 - a diagonal line - means the test is no better than random guessing
Lecture 11,Slide40,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=ROC curve | p=produces | o=area under the ROC curve (AUC) | conf=0.95
Lecture 11,Slide41,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,sensitivity vs. specificity
Lecture 11,Slide41,llava-hf__llava-onevision-qwen2-7b-ov-hf,triple_entity_not_in_text,s=<diagnostic test> | p=measures | o=<ROC curve> | conf=0.0
Lecture 11,Slide43,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Some healthy patients will fall above the threshold and be misclassified as diseased - these are false positives.
Lecture 11,Slide44,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=conservative threshold | p=produces | o=high specificity | conf=0.9
Lecture 11,Slide44,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,non-diseased
Lecture 11,Slide45,llava-hf__llava-onevision-qwen2-7b-ov-hf,triple_entity_not_in_text,s=<threshold> | p=moves | o=<decision boundary> | conf=0.0
Lecture 11,Slide46,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,false negative fraction
Lecture 11,Slide46,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,balance between catching true positives and avoiding false alarms
Lecture 11,Slide47,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,diagnostic test
Lecture 11,Slide47,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,"Central tool in medical imaging, machine learning, and clinical decision-making"
Lecture 11,Slide48,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=diagnostic performance | p=depends_on | o=reader's skill | conf=0.9
Lecture 11,Slide49,Qwen__Qwen2-VL-7B-Instruct,triple_entity_not_in_text,s=Area under ROC Curve (AUC) | p=measures | o=Area under ROC Curve (AUC) | conf=1.0
Lecture 11,Slide49,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Area under ROC Curve (AUC) | p=represents | o=trade-offs between sensitivity and specificity | conf=0.9
Lecture 11,Slide5,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,MSE(theta) = E[(theta - theta)^2]
Lecture 11,Slide54,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,"s=second hypothesis | p=represents | o=image contains both the background and an additional signal, again with noise added | conf=1.0"
Lecture 11,Slide54,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,clean signal image
Lecture 11,Slide54,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=binary classification task | p=represents | o=background-only case or background-plus-signal case | conf=0.9
Lecture 11,Slide55,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,modality
Lecture 11,Slide55,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,This simple but powerful rule - often called the likelihood ratio test - provides an upper bound on performance
Lecture 11,Slide56,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Hotelling Observer | p=produces | o=test statistic t | conf=0.95
Lecture 11,Slide57,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=channelized observer | p=produces | o=channelized data vector v | conf=0.95
Lecture 11,Slide58,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,capture detail
Lecture 11,Slide58,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Four square frequency-domain channels | p=uses | o=band-pass filters in the frequency domain | conf=0.8
Lecture 11,Slide59,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,bridging imaging with data science
Lecture 11,Slide59,OpenGVLab__InternVL3-14B,concept_term_not_in_text,regression
Lecture 11,Slide59,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Memorial Sloan Kettering Cancer Center
Lecture 11,Slide59,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Feature selection
Lecture 11,Slide63,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Deep radiomics represents the cutting edge-combining the statistical rigor of radiomics with the power of deep learning to capture complex image biomarkers.
Lecture 11,Slide64,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,medical image quality
Lecture 11,Slide64,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Compute sensitivity and specificity | p=measures | o=sensitivity and specificity | conf=0.95
Lecture 11,Slide8,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Kullback-Leibler Distance | p=measures | o=information divergence | conf=0.95
Lecture 12,Slide12,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,"brain, liver, tumors"
Lecture 12,Slide12,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Medical X-rays | p=measures | o=poor contrast in soft tissue | conf=1.0
Lecture 12,Slide12,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,"Global X-ray Market: $7.3 billion in 2011, $9.1 billion in 2017"
Lecture 12,Slide12,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Global X-ray Market:
Lecture 12,Slide14,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,DQE
Lecture 12,Slide15,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,photon-counting
Lecture 12,Slide16,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,heat distribution
Lecture 12,Slide16,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Stator electromagnets
Lecture 12,Slide16,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=electron beam | p=accelerates | o=toward tungsten anode | conf=0.95
Lecture 12,Slide17,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Characteristic (Photoelectric) | p=produces | o=Characteristic X-ray Emission | conf=0.95
Lecture 12,Slide18,OpenGVLab__InternVL3-14B,concept_term_not_in_text,maximum photon energy
Lecture 12,Slide18,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,vacuum
Lecture 12,Slide19,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,patient distance
Lecture 12,Slide19,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=effective focal spot size | p=depends_on | o=actual size and angle theta | conf=0.9
Lecture 12,Slide19,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,f = F sin(theta)
Lecture 12,Slide19,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,f = F sin θ
Lecture 12,Slide19,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=coverage | p=depends_on | o=source-to-patient distance | conf=0.9
Lecture 12,Slide20,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,X-ray technology advancement
Lecture 12,Slide21,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=X-ray attenuation | p=depends_on | o=X-ray Source | conf=0.8
Lecture 12,Slide22,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,"s=X-rays | p=interacts with | o=molecules, atoms, or inner electrons | conf=1.0"
Lecture 12,Slide22,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,Scatter radiation
Lecture 12,Slide22,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=X-ray photons | p=uses | o=Primary Beam | conf=0.9
Lecture 12,Slide24,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Photoelectric effect | p=represents | o=dominant interaction for medical X-rays at low energies | conf=0.9
Lecture 12,Slide25,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,radiation dose
Lecture 12,Slide26,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"suppose you start with 1,000 x-ray photons. After passing through the first half-value layer, about half remain - 500 photons. After a second half-value layer of the same thickness, the number drops to about 250. After a few layers, only a small fraction of the original photons survive"
Lecture 12,Slide29,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,soft tissue imaging
Lecture 12,Slide29,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,μ = 1 per centimeter
Lecture 12,Slide3,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,reconstruction
Lecture 12,Slide3,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=X-ray imaging | p=uses | o=X-ray detector | conf=1.0
Lecture 12,Slide3,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=X-ray imaging | p=depends_on | o=X-ray Attenuation | conf=0.9
Lecture 12,Slide30,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Polychromatic Model | p=depends_on | o=integration over the entire energy spectrum | conf=0.9
Lecture 12,Slide30,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Polychromatic Model | p=represents | o=integration over energy spectrum | conf=0.95
Lecture 12,Slide31,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=gold | p=has | o=K-edge at about 80.7 keV | conf=1.0
Lecture 12,Slide31,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=K-edge | p=produces | o=sharp jump in attenuation curve | conf=0.9
Lecture 12,Slide32,llava-hf__llava-onevision-qwen2-7b-ov-hf,triple_entity_not_in_text,s=gadolinium | p=uses|via|represents|depends_on|measures|produces|reconstructs_with | o=MRI contrast agent | conf=0.0
Lecture 12,Slide32,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=gadolinium | p=has | o=sharp jump in attenuation around 50 keV | conf=1.0
Lecture 12,Slide34,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Indirect AMFPI | p=produces | o=visible light | conf=0.9
Lecture 12,Slide35,OpenGVLab__InternVL3-14B,concept_term_not_in_text,primary beam efficiency
Lecture 12,Slide38,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,"carbon, oxygen, hydrogen"
Lecture 12,Slide38,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=X-rays interaction with matter | p=depends_on | o=mass number | conf=1.0
Lecture 12,Slide39,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=Klein-Nishina function | p=describes | o=how photons scatter off electrons | conf=1.0
Lecture 12,Slide40,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=dual-energy measurement | p=measures | o=line integrals A1 and A2 | conf=0.95
Lecture 12,Slide41,OpenGVLab__InternVL3-14B,concept_term_not_in_text,spectral imaging
Lecture 12,Slide42,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=photon-counting detector | p=measures | o=energy band of X-ray photon | conf=0.95
Lecture 12,Slide46,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"cones can distinguish between red, green, and blue"
Lecture 12,Slide48,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=hybrid spectral micro-CT system | p=produces | o=better spatial resolution | conf=0.9
Lecture 12,Slide7,OpenGVLab__InternVL3-14B,concept_term_not_in_text,attenuation
Lecture 12,Slide7,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=medical CT | p=uses | o=hard X-rays | conf=0.9
Lecture 12,Slide8,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,backprojection
Lecture 12,Slide8,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,"s=radiography | p=measures | o=broken bone, foreign object | conf=1.0"
Lecture 12,Slide8,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=X-ray Radiography | p=represents | o=everything superimposed: the heart, the lungs, the ribs - all layered on top of each other in the same image | conf=0.9"
Lecture 13,Slide10,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,reconstruction
Lecture 13,Slide10,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=each x-ray path | p=measures | o=unique information | conf=0.9
Lecture 13,Slide12,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=f(x,y) | p=produces | o=p(θ,t) | conf=0.95"
Lecture 13,Slide13,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Reconstruction
Lecture 13,Slide15,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,convergence
Lecture 13,Slide16,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,satisfactory outcome
Lecture 13,Slide16,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=Regularize the image reconstruction with various prior knowledge | p=uses | o=various prior knowledge | conf=0.9
Lecture 13,Slide18,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,modality
Lecture 13,Slide18,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,"for any horizontal wave, for all X-ray projections along oblique directions-that is, any orientation that is not vertical-we can say one thing: if you do the vertical line integral, the wave has a positive cycle and a negative cycle that cancel out"
Lecture 13,Slide18,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=projection at ninety degrees plus one degree | p=depends_on | o=wave at one-degree orientation | conf=0.9
Lecture 13,Slide19,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,"s=F(u, v) = F(ρ, θ) | p=represents | o=the Fourier spectrum of the projection profile | conf=0.9"
